Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_P	22	23	100000	2.30E+08	1
WHO_N	22	24	100000	2.40E+08	1
WHO_K	22	23	100000	2.30E+08	1
WHO_M	24	60	100000	6.00E+08	1
WHO_A	24	40	100000	4.00E+08	1
F89	24	84	100000	8.40E+08	1
WHO_F	24	30	100000	3.00E+08	1
WHO_G	24	80	100000	8.00E+08	1
ATCC49226	24	36	100000	3.60E+08	1
WHO_L	24	11	100000	1.10E+08	1
AZ-HLR	24	28	100000	2.80E+08	1
WHO_O	24	36	100000	3.60E+08	1
WHO_P	24	34	100000	3.40E+08	1
WHO_N	24	19	1000000	1.90E+09	1
WHO_K	24	49	100000	4.90E+08	1
WHO_M	26	22	100000	2.20E+08	1
WHO_A	26	26	100000	2.60E+08	1
F89	26	21	100000	2.10E+08	1
WHO_F	26	7	10000000	7.00E+09	1
WHO_G	26	7	10000000	7.00E+09	1
ATCC49226	26	11	1000000	1.10E+09	1
WHO_L	26	24	100000	2.40E+08	1
AZ-HLR	26	4	1000000	4.00E+08	1
WHO_O	26	21	1000000	2.10E+09	1
WHO_P	26	20	100000	2.00E+08	1
WHO_N	26	17	1000000	1.70E+09	1
WHO_K	26	20	100000	2.00E+08	1
WHO_M	28	21	100000	2.10E+08	1
WHO_A	28	26	100000	2.60E+08	1
F89	28	18	100000	1.80E+08	1
WHO_F	28	22	1000000	2.20E+09	1
WHO_G	28	60	1000000	6.00E+09	1
ATCC49226	28	7	1000000	7.00E+08	1
WHO_L	28	7	100000	7.00E+07	1
AZ-HLR	28	6	1000000	6.00E+08	1
WHO_O	28	27	1000000	2.70E+09	1
WHO_P	28	30	100000	3.00E+08	1
WHO_N	28	17	1000000	1.70E+09	1
WHO_K	28	42	100000	4.20E+08	1
WHO_M	30	55	100000	5.50E+08	1
WHO_A	30	150	100000	1.50E+09	1
F89	30	33	100000	3.30E+08	1
WHO_F	30	20	10000000	2.00E+10	1
WHO_G	30	23	1000000	2.30E+09	1
ATCC49226	30	8	1000000	8.00E+08	1
WHO_L	30	11	100000	1.10E+08	1
AZ-HLR	30	31	100000	3.10E+08	1
WHO_O	30	17	10000000	1.70E+10	1
WHO_P	30	33	100000	3.30E+08	1
WHO_N	30	34	10000000	3.40E+10	1
WHO_K	30	36	100000	3.60E+08	1
WHO_M	32	150	100000	1.50E+09	1
WHO_A	32	200	100000	2.00E+09	1
F89	32	25	100000	2.50E+08	1
WHO_F	32	22	10000000	2.20E+10	1
WHO_G	32	21	1000000	2.10E+09	1
ATCC49226	32	18	1000000	1.80E+09	1
WHO_L	32	5	100000	5.00E+07	1
AZ-HLR	32	60	100000	6.00E+08	1
WHO_O	32	19	10000000	1.90E+10	1
WHO_P	32	22	100000	2.20E+08	1
WHO_N	32	42	10000000	4.20E+10	1
WHO_K	32	80	100000	8.00E+08	1
WHO_M	34	4	1000000	4.00E+08	1
WHO_A	34	6	10000000	6.00E+09	1
F89	34	23	100000	2.30E+08	1
WHO_F	34	12	10000000	1.20E+10	1
WHO_G	34	22	1000000	2.20E+09	1
ATCC49226	34	31	1000000	3.10E+09	1
WHO_L	34	9	100000	9.00E+07	1
AZ-HLR	34	31	100000	3.10E+08	1
WHO_O	34	28	10000000	2.80E+10	1
WHO_P	34	22	100000	2.20E+08	1
WHO_N	34	36	10000000	3.60E+10	1
WHO_K	34	36	100000	3.60E+08	1
WHO_M	36	28	100000	2.80E+08	1
WHO_A	36	12	1000000	1.20E+09	1
F89	36	16	100000	1.60E+08	1
WHO_F	36	28	1000000	2.80E+09	1
WHO_G	36	43	100000	4.30E+08	1
ATCC49226	36	39	100000	3.90E+08	1
WHO_L	36	11	100000	1.10E+08	1
AZ-HLR	36	33	100000	3.30E+08	1
WHO_O	36	15	10000000	1.50E+10	1
WHO_P	36	22	100000	2.20E+08	1
WHO_N	36	31	10000000	3.10E+10	1
WHO_K	36	44	100000	4.40E+08	1
WHO_M	44	5	10000	5.00E+06	1
WHO_A	44	20	1000000	2.00E+09	1
F89	44	19	1000	1.90E+06	1
WHO_F	44	20	1000000	2.00E+09	1
WHO_G	44	17	1000	1.70E+06	1
ATCC49226	44	12	100000	1.20E+08	1
WHO_L	44	32	100000	3.20E+08	1
AZ-HLR	44	11	1000	1.10E+06	1
WHO_O	44	23	100000	2.30E+08	1
WHO_P	44	20	100000	2.00E+08	1
WHO_N	44	33	1000000	3.30E+09	1
WHO_K	44	16	10000	1.60E+07	1
WHO_M	46	17	1000	1.70E+06	1
WHO_A	46	8	10000000	8.00E+09	1
F89	46	9	1000	9.00E+05	1
WHO_F	46	21	100000	2.10E+08	1
WHO_G	46	5	1000	5.00E+05	1
ATCC49226	46	30	100000	3.00E+08	1
WHO_L	46	12	100000	1.20E+08	1
AZ-HLR	46	28	100	2.80E+05	1
WHO_O	46	18	100000	1.80E+08	1
WHO_P	46	27	100000	2.70E+08	1
WHO_N	46	24	1000000	2.40E+09	1
WHO_K	46	15	1000	1.50E+06	1
WHO_M	48	11	1000	1.10E+06	1
WHO_A	48	4	10000000	4.00E+09	1
F89	48	33	100	3.30E+05	1
WHO_F	48	18	10000	1.80E+07	1
WHO_G	48	18	10	1.80E+04	1
ATCC49226	48	2	100000	2.00E+07	1
WHO_L	48	16	100000	1.60E+08	1
AZ-HLR	48	3	100	3.00E+04	1
WHO_O	48	30	100000	3.00E+08	1
WHO_P	48	21	10000	2.10E+07	1
WHO_N	48	33	1000000	3.30E+09	1
WHO_K	48	17	10	1.70E+04	1
WHO_M	60	6	100	6.00E+04	1
WHO_A	60	17	100000	1.70E+08	1
F89	60	5	100	5.00E+04	1
WHO_F	60	0	1	0.00E+00	1
WHO_G	60	0	1	0.00E+00	1
ATCC49226	60	5	10	5.00E+03	1
WHO_L	60	6	100000	6.00E+07	1
AZ-HLR	60	0	1	0.00E+00	1
WHO_O	60	4	100	4.00E+04	1
WHO_P	60	9	1000	9.00E+05	1
